,,,,
Inf,Rec,División,Juega en,Nombre
Seg,- - -,Primera División española,ESP,- -
,- - -,Primera División española,ESP,- -
Juv,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segunda División española,ESP,- -
Ctr,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Segunda División española,ESP,- -
Ret,- - -,Segunda División española,ESP,- -
,- - -,Primera División española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Seg,- - -,Primera División Federación B española,ESP,- -
Seg,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Primera División Federación A española,ESP,- -
Seg,- - -,Segunda División Federación Grupo 2 española,ESP,- -
Seg,- - -,Primera División Federación A española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
Juv,- - -,Primera División Federación A española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
Seg,- - -,Segunda División española,ESP,- -
