Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Disparos,Disparos fuera área/90,TaP,Gol,Goles fuera del área,xG,Cab Int,Cab,DsR,Rec.1,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
player_489,DF (DC),21 (5),2.102,1.205,1.114,88,17,0,"1,53",4,14,98,35,"276,1 km","8,01",47,41,9,15,7,1,0,47,31,"18,92","4,07",12,"0,21",1,0,1,"1,22",151,101,17,11,10,2,10,2
player_490,DF/CR/ME/MP (D),5 (13),433,211,177,21,4,0,"0,82",2,8,40,17,"61,0 km","17,04",18,14,1,3,2,0,1,10,4,"3,33","21,2",2,0,1,0,0,"0,04",14,4,0,1,16,1,16,1
player_491,DF/CR/ME/MP (I),33,2.891,1.486,1.308,179,25,4,"2,96",1,36,304,72,"391,8 km","13,7",118,89,5,44,32,6,0,83,41,"14,76","13,39",7,"0,03",3,1,0,"0,52",162,90,7,22,82,14,82,14
player_492,"MC, ME (C)",31 (3),2.902,1.675,1.462,142,30,5,"2,86",6,19,319,75,"406,8 km","11,63",75,59,3,61,33,7,1,49,27,"9,8","6,98",17,"0,16",2,1,0,"2,75",122,75,1,17,8,3,8,3
player_493,DF (C),4 (3),442,292,274,19,3,0,"0,34",0,1,19,8,"55,6 km","4,89",10,3,4,2,2,0,0,5,7,"18,94","2,04",2,"0,2",0,0,0,"0,15",29,17,4,3,1,1,1,1
player_494,DF (DC),14 (2),1.316,814,713,53,3,0,"0,8",1,3,51,13,"162,1 km","4,45",21,15,3,12,7,3,0,24,19,"14,98","3,62",6,0,2,0,0,"0,91",107,73,15,8,3,0,3,0
player_495,"ME (DI), MP (DIC)",4 (8),534,205,162,16,7,1,"0,22",2,13,70,19,"71,6 km","15,34",18,14,1,1,6,0,0,14,7,"2,7","24,78",18,"1,01",8,2,0,"1,29",32,10,0,2,18,1,18,1
player_496,"ME (DI), MP (DIC)",0 (4),55,20,15,1,0,0,0,0,0,10,2,"7,5 km",-,2,2,0,0,0,0,0,1,0,-,-,3,-,1,0,1,"0,12",3,1,0,0,2,0,2,0
player_497,POR,5 (3),562,141,78,0,0,0,0,0,0,0,0,"39,6 km",0,1,0,0,0,2,0,0,0,-,"3,04","7,53",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_498,DF (C),24 (2),2.272,1.653,1.476,96,4,1,"1,27",4,4,73,29,"280,5 km","5,07",37,32,3,18,8,3,0,47,29,"13,71","2,57",19,"0,2",3,0,2,"1,58",181,120,26,12,0,0,0,0
player_499,MP (D),29 (4),2.486,900,770,64,39,3,"2,07",3,94,354,83,"326,0 km","14,52",70,58,0,47,33,0,0,48,13,"3,15","21,65",56,"0,65",18,6,1,"8,2",121,22,0,4,99,19,99,19
player_500,"MC, ME/MP (C)",10 (15),1.093,556,468,32,12,3,"1,03",3,12,149,35,"147,9 km","10,46",33,22,0,22,7,3,0,23,4,"12,68","12,85",6,"0,16",2,2,0,"0,42",47,27,0,5,9,1,9,1
player_501,ME (C),21,1.641,821,711,47,34,1,"1,28",3,25,223,58,"214,7 km","10,2",45,36,2,33,16,5,0,33,14,"11,68","13,71",12,"0,16",5,2,0,"1,24",65,31,0,6,114,12,17,2
player_502,DF/CR/ME/MP (DI),3 (23),672,275,234,24,7,0,"0,93",1,11,84,19,"87,3 km","15,67",21,21,0,12,9,0,0,8,6,"4,69","17,95",16,"0,67",7,1,2,"1,83",45,15,0,2,24,6,24,6
player_503,POR,4,360,100,70,0,0,0,0,0,0,0,0,"20,9 km",0,0,-,0,0,1,0,0,0,-,"2,5","11,25",0,-,-,0,-,0,-,-,-,-,-,-,-,-
